127.0.0.1 - - [11/Dec/2023:23:24:22 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:24:24 +0700] "GET /BanHang/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:24:26 +0700] "GET /BanHang/user/home HTTP/1.1" 200 6206
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:24:37 +0700] "GET /BanHang/admin/category/findAll HTTP/1.1" 200 5699
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:24:39 +0700] "GET /BanHang/admin/product/listproduct HTTP/1.1" 200 6009
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:24:41 +0700] "GET /BanHang/admin/product/product.html HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:24:44 +0700] "GET /BanHang/admin/product/contact.html HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:24:49 +0700] "GET /BanHang/admin/product/cart.html HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:24:56 +0700] "GET /BanHang/user/home HTTP/1.1" 200 6206
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:24:59 +0700] "GET /BanHang/user/index.html HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:35:24 +0700] "GET /BanHang/user/home HTTP/1.1" 200 45201
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:35:24 +0700] "GET /BanHang/image?fname=product/Wave%20RSX%20FI.png HTTP/1.1" 200 37859
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:35:24 +0700] "GET /BanHang/image?fname=product/Wave%20Alpha.png HTTP/1.1" 200 195434
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:35:24 +0700] "GET /BanHang/image?fname=product/Wave%20Apha.png HTTP/1.1" 200 260153
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:35:24 +0700] "GET /BanHang/image?fname=product/Super%20Cub%20C125.png HTTP/1.1" 200 42830
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:35:24 +0700] "GET /BanHang/image?fname=product/Future.jpg HTTP/1.1" 200 261127
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:35:24 +0700] "GET /BanHang/image?fname=product/Blade.png HTTP/1.1" 200 1031654
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:35:24 +0700] "GET /BanHang/image?fname=product/Vision.jpg HTTP/1.1" 200 42017
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:35:24 +0700] "GET /BanHang/image?fname=product/Vision1.png HTTP/1.1" 200 574554
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:35:24 +0700] "GET /BanHang/image?fname=product/Air%20Blade%20125.png HTTP/1.1" 200 57596
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:35:24 +0700] "GET /BanHang/image?fname=product/Air%20Blade%20160.png HTTP/1.1" 200 57596
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:35:36 +0700] "GET /BanHang/user/listprocate?cateID=1 HTTP/1.1" 200 142023
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:35:36 +0700] "GET /BanHang/image?fname=product/Wave%20Apha.png HTTP/1.1" 200 260153
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:35:36 +0700] "GET /BanHang/image?fname=product/Wave%20Alpha.png HTTP/1.1" 200 195434
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:35:36 +0700] "GET /BanHang/image?fname=product/Wave%20RSX%20FI.png HTTP/1.1" 200 37859
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:35:36 +0700] "GET /BanHang/image?fname=product/Future.jpg HTTP/1.1" 200 261127
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:35:36 +0700] "GET /BanHang/image?fname=product/Blade.png HTTP/1.1" 200 1031654
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:35:36 +0700] "GET /BanHang/image?fname=product/Super%20Cub%20C125.png HTTP/1.1" 200 42830
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:35:36 +0700] "GET /BanHang/image?fname=product/Vision.jpg HTTP/1.1" 200 42017
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:35:36 +0700] "GET /BanHang/image?fname=product/Vision1.png HTTP/1.1" 200 574554
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:35:36 +0700] "GET /BanHang/image?fname=product/Air%20Blade%20125.png HTTP/1.1" 200 57596
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:35:36 +0700] "GET /BanHang/image?fname=product/Air%20Blade%20160.png HTTP/1.1" 200 57596
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:35:36 +0700] "GET /BanHang/image?fname=product/Vario%20125.png HTTP/1.1" 200 65185
